DT-VN (um),VT-DN (um),Mixed Avg,True M Avg,True S Avg
-2550.00,0,0.25,12.25,0.25
-2400.00,0,5.25,158.5,1
-2250.00,0,60.75,1261.5,21
-2100.00,0,121,2219.75,31.75
-1950.00,0,200.25,2855.5,35
-1800.00,0,258,3217.75,40.5
-1650.00,0,322,3328.5,40.25
-1500.00,0,371.5,3334.5,44.5
-1350.00,0,401.25,3214.75,49.25
-1200.00,0,451.75,3027,44
-1050.00,0,463.25,2625,48.75
-900.00,0,465.25,2128.75,58.5
-750.00,0,554.75,1655.25,55.5
-600.00,0,948.5,893,52.75
-450.00,0,1416,197,49
-300.00,0,1333.5,10.25,34.75
-150.00,0,807.25,2.25,23.5
150.00,0,289.5,0,66
300.00,0,740.25,0.25,169.25
450.00,0,1265.5,0,296
600.00,0,1892.5,0.25,436.75
750.00,0,2473.25,0.75,590.75
900.00,0,3052,1.25,739
1050.00,0,3460.5,4.75,920.5
1200.00,0,3608.5,7,1004.25
1350.00,0,3777.75,6,1067.5
1500.00,0,3798.25,8,1154
1650.00,0,3801,7,1131
1800.00,0,3635.75,16,1099.75
1950.00,0,3345,16.25,962.5
2100.00,0,2660.5,21.5,888
2250.00,0,1103.25,9.25,438.25
2400.00,0,158.25,4.25,102.25
0,-2400.00,44,25.25,13.5
0,-2250.00,297.75,169,86.5
0,-2100.00,1000,522.5,267
0,-1950.00,1831.5,833,315.5
0,-1800.00,2243,992.5,365.5
0,-1650.00,2534.25,903.5,439.5
0,-1500.00,2754.5,773.5,463.75
0,-1350.00,2987.75,581.5,477.75
0,-1200.00,3106.75,440,479.25
0,-1050.00,3150.75,311.75,470.5
0,-900.00,3024,155,384.5
0,-750.00,2748,70,312.5
0,-600.00,2427.5,24.5,208.75
0,-450.00,2098.5,14.75,132.75
0,-300.00,1541.25,5.25,83
0,-150.00,827.25,2,33.5
0,150.00,278.75,0.25,46.25
0,300.00,793.5,2.75,92.75
0,450.00,1465,22.5,122.25
0,600.00,1804.5,197.25,135.75
0,750.00,1785.5,616.5,131.75
0,900.00,1627,1120,102.25
0,1050.00,1586.75,1523.75,95.5
0,1200.00,1467.75,1888.5,95.25
0,1350.00,1285.5,2168.5,86
0,1500.00,1148.5,2467.25,95.75
0,1650.00,1047,2740,86.5
0,1800.00,930,2980,77.5
0,1950.00,786,3199.5,72.75
0,2100.00,583.75,2880.5,57
0,2250.00,304.5,1901.75,43.25
0,2400.00,121,691,21.75
0,2550.00,10.5,93,1.75
